user_id,texto_relato,latitude,longitude,data,topico,urgency
citizen034,"As calçadas estão destruídas, cheias de buracos e degraus enormes na Parque da Cidade. Como consequência direta, já presenciei três colisões feias entre motos e carros aqui nesse cruzamento. Os alagamentos constantes após as chuvas pioram tudo.",-22.976453,-43.232939,2026-01-26,Transito e mobilidade,media
citizen036,"Aqui na Rua Vice-Governador Rubens Berardo, as empresas cortaram as linhas de ônibus noturnas e esperamos por horas. Com isso, evitamos sair de casa após o anoitecer de tanta insegurança nas vias.",-22.986121,-43.246751,2025-12-04,Seguranca e circulacao,baixa
citizen023,"Aqui na Rua Padre Leonel Franca, fui ameaçado por flanelinhas cobrando valores absurdos para estacionar. Com isso, minha ansiedade e insônia atacaram forte devido ao medo constante dos tiros. Os tiroteios frequentes nos deixam reféns dentro de casa.",-22.975909,-43.224899,2025-10-08,Conflito social,alta
citizen029,"Estão ocorrendo abordagens policiais abusivas e truculentas na comunidade na Rua Marquês de São Vicente. Como consequência direta, não consigo levar minha mãe idosa para as consultas médicas no posto. Os tiroteios frequentes nos deixam reféns dentro de casa.",-22.987832,-43.245737,2025-10-08,Conflito social,alta
citizen015,Moro Rua Padre Leonel Franca e vários postes estão completamente apagados e no breu. Essa situação é um absurdo porque sinto um medo absurdo de assalto e violência ao voltar do trabalho.,-22.986279,-43.244954,2025-09-19,Iluminacao publica,alta
citizen022,"Está rolando um apagão frequente na rede elétrica da rua na Rua Marquês de São Vicente. Como consequência direta, sinto um medo absurdo de assalto e violência ao voltar do trabalho.",-22.974883,-43.231601,2026-04-03,Iluminacao publica,alta
citizen013,"Moro Estrada da Gávea e as calçadas estão destruídas, cheias de buracos e degraus enormes. Essa situação é um absurdo porque os entregadores de aplicativo correm risco de acidentes graves todo dia. Os alagamentos constantes após as chuvas pioram tudo.",-22.976047,-43.232933,2026-02-20,Transito e mobilidade,media
citizen002,"Aqui na Vila Parque da Cidade, os motoristas passam voando e não respeitam o limite de velocidade. Com isso, os entregadores de aplicativo correm risco de acidentes graves todo dia. Os alagamentos constantes após as chuvas pioram tudo.",-22.977538,-43.232340,2026-02-24,Transito e mobilidade,media
citizen003,"Aqui na Estrada da Gávea, a faixa de pedestres está totalmente apagada e sem sinalização. Com isso, os entregadores de aplicativo correm risco de acidentes graves todo dia. Os alagamentos constantes após as chuvas pioram tudo.",-22.986545,-43.245610,2026-02-27,Transito e mobilidade,media
citizen038,"Fui ameaçado por flanelinhas cobrando valores absurdos para estacionar na perto da PUC-Rio. Como consequência direta, não consigo levar minha mãe idosa para as consultas médicas no posto. Os tiroteios frequentes nos deixam reféns dentro de casa.",-22.978644,-43.233049,2025-10-06,Conflito social,alta
citizen039,"Aqui na Vila Parque da Cidade, o ponto de ônibus não tem nenhuma cobertura contra chuva nem assento. Com isso, já presenciei três colisões feias entre motos e carros aqui nesse cruzamento. Os alagamentos constantes após as chuvas pioram tudo.",-22.975866,-43.229489,2026-03-17,Transito e mobilidade,media
citizen021,Moro Rua Padre Leonel Franca e estão ocorrendo abordagens policiais abusivas e truculentas na comunidade. Essa situação é um absurdo porque as crianças e adolescentes estão proibidos de brincar nas áreas públicas. Os tiroteios frequentes nos deixam reféns dentro de casa.,-22.980202,-43.234150,2025-11-18,Conflito social,alta
citizen007,"Preciso sair de madrugada para o trabalho e o caminho é totalmente deserto na Parque da Cidade. Como consequência direta, fico exposto à criminalidade e com medo constante de morrer logo cedo.",-22.979032,-43.234515,2025-10-07,Seguranca e circulacao,baixa
citizen017,Moro Rua Vice-Governador Rubens Berardo e há um acúmulo gigante de lixo e entulho abandonado no terreno. Essa situação é um absurdo porque basta uma chuvinha para a rua inteira alagar e a água invadir as residências.,-22.987541,-43.246755,2026-02-19,Lixo e conservacao,alta
citizen008,Moro Rua Padre Leonel Franca e restos de feira e comida apodrecem na calçada por dias sem limpeza. Essa situação é um absurdo porque os pedestres são obrigados a caminhar pelo meio da rua correndo risco de atropelamento. Os alagamentos constantes após as chuvas pioram tudo.,-22.987384,-43.246750,2026-03-08,Lixo e conservacao,media
citizen027,"O ponto de ônibus não tem nenhuma cobertura contra chuva nem assento na Beco do Vidigal (acesso Gávea). Como consequência direta, como cadeirante, fico completamente excluído e sem conseguir circular.",-22.974735,-43.224693,2025-07-27,Transito e mobilidade,baixa
citizen017,"Aqui na Beco do Vidigal (acesso Gávea), há um acúmulo gigante de lixo e entulho abandonado no terreno. Com isso, isso atrai muitos ratos, baratas e gera um mau cheiro insuportável perto de casa.",-22.979228,-43.233286,2026-01-20,Lixo e conservacao,media
citizen033,"Aqui na Beco do Vidigal (acesso Gávea), fui ameaçado por flanelinhas cobrando valores absurdos para estacionar. Com isso, minha ansiedade e insônia atacaram forte devido ao medo constante dos tiros. Os tiroteios frequentes nos deixam reféns dentro de casa.",-22.974002,-43.232144,2025-10-09,Conflito social,alta
citizen009,"Restos de feira e comida apodrecem na calçada por dias sem limpeza na Parque da Cidade. Como consequência direta, temos um risco enorme de surtos de dengue e leptospirose na vizinhança. Os alagamentos constantes após as chuvas pioram tudo.",-22.987429,-43.246190,2026-01-02,Lixo e conservacao,media
